id,Speciality,Vacancy,Date,Date (Квартал),AvgSalary,salary_to,salary_from,salary_currency,employer_name,Year,area_name,Country
218,Аналитик,Data Analyst в C1,17/09/21,3,155000,180000,130000,RUR,Skyeng,2021,Москва,Russian Federation
219,Аналитик,Data Analyst в Development Core,30/08/21,3,"","","","",Skyeng,2021,Москва,Russian Federation
220,Аналитик,Data Analyst в Skypro,02/08/21,3,"","","","",Skyeng,2021,Москва,Russian Federation
221,Аналитик,Data Analyst в Vimbox Platform,01/07/21,3,"","","","",Skyeng,2021,Москва,Russian Federation
222,Аналитик,Data Analyst в Дивизион `Массовая персонализация`,25/02/21,1,"","","","",Сбербанк,2021,Москва,Russian Federation
223,Аналитик,Data Analyst в Дивизион Массовая персонализация,27/04/20,2,"","","","",Сбербанк,2020,Москва,Russian Federation
224,Аналитик,Data Analyst в команду «Отчетность и аналитика»,12/04/21,2,"","","","",Сбербанк,2021,Москва,Russian Federation
225,Аналитик,Data Analyst в команду «Отчетность и аналитика»,05/03/21,1,"","","","",Сбербанк,2021,Москва,Russian Federation
226,Аналитик,Data Analyst в направление CLTV,06/08/21,3,"","","","",Сбербанк,2021,Москва,Russian Federation
227,Аналитик,Data Analyst в направление CLTV,03/09/21,3,"","","","",Сбербанк,2021,Москва,Russian Federation
228,Аналитик,Data Analyst в Пикабу (remote),30/08/20,3,100000,130000,70000,RUR,Пикабу,2020,Москва,Russian Federation
229,Аналитик,Data Analyst Дивизион 'Забота о клиентах',07/08/20,3,"","","","",Сбербанк,2020,Москва,Russian Federation
230,Аналитик,Data analyst. Аналитик данных в трайб «Массовая персонализация».,12/03/21,1,"","","","",Сбербанк,2021,Москва,Russian Federation
231,Аналитик,Data Analyst/ Аналитик данных,18/05/21,2,"","","","","Лента, федеральная розничная сеть",2021,Москва,Russian Federation
232,Аналитик,Data analyst/scientist,07/04/21,2,"","","","",Сбербанк,2021,Москва,Russian Federation
233,Аналитик,Data analyst/Аналитик данных,24/08/21,3,"","","","",Леруа Мерлен,2021,Москва,Russian Federation
234,Аналитик,Data Analyst/Аналитик данных в контактный-центр,13/03/20,1,"","","","",Туту.ру,2020,Москва,Russian Federation
235,Аналитик,Data Analyst/Дата-аналитик,01/09/20,3,"","","","",ЦРПТ (Центр развития перспективных технологий),2020,Москва,Russian Federation
236,Аналитик,Data Analyst\Аналитик данных,13/08/20,3,"","","","",АМ-интеллектуальные технологии,2020,Москва,Russian Federation
237,Аналитик,Data Engineer (Data Analyst),15/10/21,4,"","","","",AbbVie,2021,Москва,Russian Federation
